runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-04 20:56:06.265994,"51.520406, -0.085969","51.50876021806188, 0.019516190523844026",9.7 km,35 mins,2089,transit
2020-03-04 20:56:06.612829,"51.520406, -0.085969","51.497931385468334, 0.008606455460511926",9.3 km,28 mins,1671,transit
2020-03-04 20:56:06.926101,"51.520406, -0.085969","51.48863450893848, -0.008748440599102078",9.0 km,31 mins,1874,transit
2020-03-04 20:56:07.270269,"51.520406, -0.085969","51.48150204988079, -0.03136580227005298",7.9 km,29 mins,1728,transit
2020-03-04 20:56:07.654015,"51.520406, -0.085969","51.477018969643105, -0.05770429874393135",6.6 km,39 mins,2318,transit
2020-03-04 20:56:08.001345,"51.520406, -0.085969","51.47548997523315, -0.085969",7.8 km,36 mins,2148,transit
2020-03-04 20:56:08.301228,"51.520406, -0.085969","51.477018969643105, -0.11423370125606863",6.0 km,26 mins,1532,transit
2020-03-04 20:56:08.668938,"51.520406, -0.085969","51.48150204988079, -0.14057219772994706",7.9 km,36 mins,2146,transit
2020-03-04 20:56:09.029170,"51.520406, -0.085969","51.48863450893848, -0.1631895594008979",9.3 km,36 mins,2186,transit
2020-03-04 20:56:09.363991,"51.520406, -0.085969","51.497931385468334, -0.18054445546051187",11.1 km,39 mins,2368,transit
2020-03-04 20:56:09.621246,"51.520406, -0.085969","51.50876021806188, -0.19145419052384405",API ERROR,API ERROR,0,transit
2020-03-04 20:56:09.927442,"51.520406, -0.085969","51.52038385058883, -0.19517529627668107",8.8 km,30 mins,1799,transit
2020-03-04 20:56:10.330446,"51.520406, -0.085969","51.53201045056956, -0.19145419052384405",10.4 km,37 mins,2198,transit
2020-03-04 20:56:10.740383,"51.520406, -0.085969","51.54284739040099, -0.18054445546051193",9.6 km,30 mins,1782,transit
2020-03-04 20:56:11.104482,"51.520406, -0.085969","51.55215534163178, -0.16318955940089797",8.6 km,24 mins,1418,transit
2020-03-04 20:56:11.722640,"51.520406, -0.085969","51.55929887539971, -0.1405721977299471",8.6 km,25 mins,1473,transit
2020-03-04 20:56:12.045617,"51.520406, -0.085969","51.563790062893844, -0.11423370125606863",8.8 km,39 mins,2339,transit
2020-03-04 20:56:12.355350,"51.520406, -0.085969","51.56532202476685, -0.08596900000000003",5.9 km,31 mins,1861,transit
2020-03-04 20:56:12.717659,"51.520406, -0.085969","51.57430522972021, -0.085969",7.1 km,37 mins,2241,transit
2020-03-04 20:56:13.070690,"51.520406, -0.085969","51.57246651847235, -0.05205134331355016",9.6 km,48 mins,2853,transit
2020-03-04 20:56:13.414698,"51.520406, -0.085969","51.567076118486774, -0.02044513978963002",11.0 km,33 mins,2007,transit
2020-03-04 20:56:13.775256,"51.520406, -0.085969","51.55850254708598, 0.006695691371791944",12.2 km,34 mins,2010,transit
2020-03-04 20:56:14.037952,"51.520406, -0.085969","51.54733167634796, 0.027521556041049278",9.5 km,23 mins,1391,transit
2020-03-04 20:56:14.363621,"51.520406, -0.085969","51.53432637754975, 0.04061322686817568",10.2 km,32 mins,1893,transit
2020-03-04 20:56:14.696785,"51.520406, -0.085969","51.52037410485204, 0.04507854903210487",13.5 km,54 mins,3215,transit
2020-03-04 20:56:15.054633,"51.520406, -0.085969","51.50642610528426, 0.04061322686817568",13.0 km,47 mins,2800,transit
2020-03-04 20:56:15.423822,"51.520406, -0.085969","51.49343248090121, 0.02752155604104933",12.4 km,43 mins,2572,transit
2020-03-04 20:56:15.782029,"51.520406, -0.085969","51.48227755772755, 0.006695691371791956",9.8 km,30 mins,1783,transit
2020-03-04 20:56:16.093651,"51.520406, -0.085969","51.47371993391036, -0.02044513978963002",11.1 km,37 mins,2201,transit
2020-03-04 20:56:16.431554,"51.520406, -0.085969","51.46834120837843, -0.05205134331355012",11.1 km,38 mins,2290,transit
2020-03-04 20:56:16.819617,"51.520406, -0.085969","51.46650677027978, -0.085969",8.3 km,38 mins,2289,transit
